accession	species	superkingdom	phylum	class	order	family	genus	data_type
3300026253_24	3300026253_24							unsupervised
3300011899_1	3300011899_1							unsupervised
3300026897_4	3300026897_4							unsupervised
3300025832_23	3300025832_23							unsupervised
3300020190_74	3300020190_74							unsupervised
3300029605_13	3300029605_13							unsupervised
3300027773_27	3300027773_27							unsupervised
3300029530_7	3300029530_7							unsupervised
3300029615_33	3300029615_33							unsupervised
3300020347_4	3300020347_4							unsupervised
3300011507_2	3300011507_2							unsupervised
3300006568_22	3300006568_22							unsupervised
3300029391_18	3300029391_18							unsupervised
3300029490_26	3300029490_26							unsupervised
3300012090_24	3300012090_24							unsupervised
3300025683_16	3300025683_16							unsupervised
3300028593_41	3300028593_41							unsupervised
3300008478_11	3300008478_11							unsupervised
3300011835_3	3300011835_3							unsupervised
3300025502_12	3300025502_12							unsupervised
3300024318_6	3300024318_6							unsupervised
3300028048_55	3300028048_55							unsupervised
3300007796_12	3300007796_12							unsupervised
3300020138_4	3300020138_4							unsupervised
3300014537_15	3300014537_15							unsupervised
3300029580_13	3300029580_13							unsupervised
3300017423_23	3300017423_23							unsupervised
3300007361_20	3300007361_20							unsupervised
3300006258_3	3300006258_3							unsupervised
3300011378_1	3300011378_1							unsupervised
3300025767_17	3300025767_17							unsupervised
3300027296_7	3300027296_7							unsupervised
3300011244_1	3300011244_1							unsupervised
3300013414_12	3300013414_12							unsupervised
3300025238_17	3300025238_17							unsupervised
3300008668_5	3300008668_5							unsupervised
3300029070_2	3300029070_2							unsupervised
3300028557_31	3300028557_31							unsupervised
3300014905_1	3300014905_1							unsupervised
3300024511_2	3300024511_2							unsupervised
3300014656_18	3300014656_18							unsupervised
3300027509_21	3300027509_21							unsupervised
3300029468_7	3300029468_7							unsupervised
3300027690_12	3300027690_12							unsupervised
2061766007_114	2061766007_114							unsupervised
3300026986_7	3300026986_7							unsupervised
3300029653_8	3300029653_8							unsupervised
3300029593_24	3300029593_24							unsupervised
3300029790_21	3300029790_21							unsupervised
3300007222_14	3300007222_14							unsupervised
3300029122_19	3300029122_19							unsupervised
3300014612_3	3300014612_3							unsupervised
3300014916_5	3300014916_5							unsupervised
3300001594_26	3300001594_26							unsupervised
3300027157_5	3300027157_5							unsupervised
3300025105_19	3300025105_19							unsupervised
3300011810_3	3300011810_3							unsupervised
3300011895_5	3300011895_5							unsupervised
3300008272_13	3300008272_13							unsupervised
3300009503_97	3300009503_97							unsupervised
3300020592_7	3300020592_7							unsupervised
3300027958_85	3300027958_85							unsupervised
3300029336_27	3300029336_27							unsupervised
3300006186_15	3300006186_15							unsupervised
3300029567_26	3300029567_26							unsupervised
3300008571_15	3300008571_15							unsupervised
3300024907_15	3300024907_15							unsupervised
3300029425_9	3300029425_9							unsupervised
3300011457_2	3300011457_2							unsupervised
3300011956_3	3300011956_3							unsupervised
3300026549_53	3300026549_53							unsupervised
3300029587_25	3300029587_25							unsupervised
3300025708_51	3300025708_51							unsupervised
3300027130_8	3300027130_8							unsupervised
3300029185_14	3300029185_14							unsupervised
3300029589_32	3300029589_32							unsupervised
3300029794_23	3300029794_23							unsupervised
3300027823_53	3300027823_53							unsupervised
3300012265_9	3300012265_9							unsupervised
3300012016_16	3300012016_16							unsupervised
3300005326_51	3300005326_51							unsupervised
3300022146_9	3300022146_9							unsupervised
3300029404_25	3300029404_25							unsupervised
3300011215_3	3300011215_3							unsupervised
3300029729_24	3300029729_24							unsupervised
3300011972_10	3300011972_10							unsupervised
3300005985_30	3300005985_30							unsupervised
3300029420_11	3300029420_11							unsupervised
3300025305_8	3300025305_8							unsupervised
3300008461_8	3300008461_8							unsupervised
3300010275_25	3300010275_25							unsupervised
3300027869_16	3300027869_16							unsupervised
3300020424_16	3300020424_16							unsupervised
3300027244_6	3300027244_6							unsupervised
3300029354_29	3300029354_29							unsupervised
3300027963_199	3300027963_199							unsupervised
3300007296_5	3300007296_5							unsupervised
3300007091_4	3300007091_4							unsupervised
3300012921_41	3300012921_41							unsupervised
3300011509_2	3300011509_2							unsupervised
3300008335_7	3300008335_7							unsupervised
3300026188_20	3300026188_20							unsupervised
3300027757_14	3300027757_14							unsupervised
3300025622_13	3300025622_13							unsupervised
3300026848_24	3300026848_24							unsupervised
3300029696_16	3300029696_16							unsupervised
3300006479_5	3300006479_5							unsupervised
3300029178_4	3300029178_4							unsupervised
3300013978_1	3300013978_1							unsupervised
3300018004_15	3300018004_15							unsupervised
3300029613_8	3300029613_8							unsupervised
3300012859_9	3300012859_9							unsupervised
3300008716_15	3300008716_15							unsupervised
3300022660_92	3300022660_92							unsupervised
3300029237_16	3300029237_16							unsupervised
3300008348_5	3300008348_5							unsupervised
3300014747_4	3300014747_4							unsupervised
3300012831_5	3300012831_5							unsupervised
3300011233_2	3300011233_2							unsupervised
3300011923_2	3300011923_2							unsupervised
3300011140_6	3300011140_6							unsupervised
3300029435_17	3300029435_17							unsupervised
3300026516_38	3300026516_38							unsupervised
3300012841_5	3300012841_5							unsupervised
3300022888_29	3300022888_29							unsupervised
3300021256_45	3300021256_45							unsupervised
2049941000_82	2049941000_82							unsupervised
3300007055_9	3300007055_9							unsupervised
3300022931_23	3300022931_23							unsupervised
3300026703_7	3300026703_7							unsupervised
3300025529_13	3300025529_13							unsupervised
3300005287_13	3300005287_13							unsupervised
3300019765_2	3300019765_2							unsupervised
3300008514_5	3300008514_5							unsupervised
3300011488_2	3300011488_2							unsupervised
3300020436_3	3300020436_3							unsupervised
3300029725_12	3300029725_12							unsupervised
3300029885_24	3300029885_24							unsupervised
3300012149_4	3300012149_4							unsupervised
3300011966_5	3300011966_5							unsupervised
3300011623_1	3300011623_1							unsupervised
3300012033_4	3300012033_4							unsupervised
3300005326_37	3300005326_37							unsupervised
3300012273_3	3300012273_3							unsupervised
3300011738_2	3300011738_2							unsupervised
3300008436_7	3300008436_7							unsupervised
3300025218_6	3300025218_6							unsupervised
3300029815_22	3300029815_22							unsupervised
3300008496_4	3300008496_4							unsupervised
3300018946_6	3300018946_6							unsupervised
3300012169_1	3300012169_1							unsupervised
3300024921_8	3300024921_8							unsupervised
3300008672_22	3300008672_22							unsupervised
3300010273_37	3300010273_37							unsupervised
3300029469_9	3300029469_9							unsupervised
3300008712_14	3300008712_14							unsupervised
3300025855_35	3300025855_35							unsupervised
3300012564_1	3300012564_1							unsupervised
3300008282_6	3300008282_6							unsupervised
3300011578_3	3300011578_3							unsupervised
3300012846_10	3300012846_10							unsupervised
3300012848_9	3300012848_9							unsupervised
3300027980_37	3300027980_37							unsupervised
3300011782_1	3300011782_1							unsupervised
3300014789_8	3300014789_8							unsupervised
3300029815_30	3300029815_30							unsupervised
3300006498_16	3300006498_16							unsupervised
3300029354_13	3300029354_13							unsupervised
3300027892_39	3300027892_39							unsupervised
3300024504_3	3300024504_3							unsupervised
3300029747_26	3300029747_26							unsupervised
3300013238_2	3300013238_2							unsupervised
3300025770_40	3300025770_40							unsupervised
3300007208_18	3300007208_18							unsupervised
3300029004_4	3300029004_4							unsupervised
3300005838_11	3300005838_11							unsupervised
3300025678_15	3300025678_15							unsupervised
3300025643_16	3300025643_16							unsupervised
3300028911_13	3300028911_13							unsupervised
3300012844_5	3300012844_5							unsupervised
3300029457_9	3300029457_9							unsupervised
3300008636_4	3300008636_4							unsupervised
3300029847_11	3300029847_11							unsupervised
3300026975_7	3300026975_7							unsupervised
3300021311_9	3300021311_9							unsupervised
3300029583_15	3300029583_15							unsupervised
3300025229_6	3300025229_6							unsupervised
3300029620_34	3300029620_34							unsupervised
3300026339_3	3300026339_3							unsupervised
3300014761_7	3300014761_7							unsupervised
3300014963_16	3300014963_16							unsupervised
3300029861_8	3300029861_8							unsupervised
3300020732_5	3300020732_5							unsupervised
3300027607_11	3300027607_11							unsupervised
3300013829_12	3300013829_12							unsupervised
3300007732_20	3300007732_20							unsupervised
3300027509_43	3300027509_43							unsupervised
3300029759_17	3300029759_17							unsupervised
3300011729_6	3300011729_6							unsupervised
3300008650_17	3300008650_17							unsupervised
3300029297_17	3300029297_17							unsupervised
3300029492_13	3300029492_13							unsupervised
3300011921_5	3300011921_5							unsupervised
3300029396_9	3300029396_9							unsupervised
3300025228_5	3300025228_5							unsupervised
3300025236_5	3300025236_5							unsupervised
3300027607_16	3300027607_16							unsupervised
3300007129_13	3300007129_13							unsupervised
3300029254_18	3300029254_18							unsupervised
3300029641_4	3300029641_4							unsupervised
3300023082_8	3300023082_8							unsupervised
3300029887_16	3300029887_16							unsupervised
3300029058_8	3300029058_8							unsupervised
3300029613_33	3300029613_33							unsupervised
3300025862_26	3300025862_26							unsupervised
3300027503_17	3300027503_17							unsupervised
3300027316_2	3300027316_2							unsupervised
3300007299_25	3300007299_25							unsupervised
3300008500_2	3300008500_2							unsupervised
3300026994_6	3300026994_6							unsupervised
3300006065_5	3300006065_5							unsupervised
3300006259_3	3300006259_3							unsupervised
3300025498_14	3300025498_14							unsupervised
3300029437_18	3300029437_18							unsupervised
3300008275_9	3300008275_9							unsupervised
3300011819_2	3300011819_2							unsupervised
3300029756_6	3300029756_6							unsupervised
3300011543_1	3300011543_1							unsupervised
3300017480_38	3300017480_38							unsupervised
3300025684_33	3300025684_33							unsupervised
3300027414_1	3300027414_1							unsupervised
3300028965_5	3300028965_5							unsupervised
3300013307_26	3300013307_26							unsupervised
3300029703_12	3300029703_12							unsupervised
3300025393_21	3300025393_21							unsupervised
3300026142_42	3300026142_42							unsupervised
3300027958_30	3300027958_30							unsupervised
3300029404_22	3300029404_22							unsupervised
3300011797_1	3300011797_1							unsupervised
3300025623_16	3300025623_16							unsupervised
3300024970_3	3300024970_3							unsupervised
3300012816_2	3300012816_2							unsupervised
3300012275_3	3300012275_3							unsupervised
3300027627_8	3300027627_8							unsupervised
3300029331_22	3300029331_22							unsupervised
3300021338_13	3300021338_13							unsupervised
3300023208_28	3300023208_28							unsupervised
3300029487_11	3300029487_11							unsupervised
3300006260_15	3300006260_15							unsupervised
3300007320_6	3300007320_6							unsupervised
3300029633_8	3300029633_8							unsupervised
3300029487_12	3300029487_12							unsupervised
3300029795_27	3300029795_27							unsupervised
3300027980_30	3300027980_30							unsupervised
3300029040_5	3300029040_5							unsupervised
3300025229_3	3300025229_3							unsupervised
3300011583_1	3300011583_1							unsupervised
3300027700_21	3300027700_21							unsupervised
3300007531_15	3300007531_15							unsupervised
3300029766_20	3300029766_20							unsupervised
3300025669_22	3300025669_22							unsupervised
3300024920_6	3300024920_6							unsupervised
3300029492_21	3300029492_21							unsupervised
3300014500_2	3300014500_2							unsupervised
3300013829_1	3300013829_1							unsupervised
3300007966_6	3300007966_6							unsupervised
3300012816_3	3300012816_3							unsupervised
3300029726_12	3300029726_12							unsupervised
3300008335_2	3300008335_2							unsupervised
3300013485_1	3300013485_1							unsupervised
3300012839_13	3300012839_13							unsupervised
3300011690_3	3300011690_3							unsupervised
3300008743_8	3300008743_8							unsupervised
3300025596_21	3300025596_21							unsupervised
3300029130_15	3300029130_15							unsupervised
3300029776_26	3300029776_26							unsupervised
3300029854_2	3300029854_2							unsupervised
3300029257_13	3300029257_13							unsupervised
3300020413_19	3300020413_19							unsupervised
3300012196_6	3300012196_6							unsupervised
3300002821_60	3300002821_60							unsupervised
3300027276_17	3300027276_17							unsupervised
3300012810_2	3300012810_2							unsupervised
3300027690_17	3300027690_17							unsupervised
3300024908_13	3300024908_13							unsupervised
3300006260_9	3300006260_9							unsupervised
3300022877_5	3300022877_5							unsupervised
3300010287_35	3300010287_35							unsupervised
3300025294_22	3300025294_22							unsupervised
3300029656_20	3300029656_20							unsupervised
3300003272_1	3300003272_1							unsupervised
3300004628_19	3300004628_19							unsupervised
3300009393_15	3300009393_15							unsupervised
3300026284_8	3300026284_8							unsupervised
3300008739_18	3300008739_18							unsupervised
3300008650_14	3300008650_14							unsupervised
3300029818_15	3300029818_15							unsupervised
3300007781_1	3300007781_1							unsupervised
3300011671_3	3300011671_3							unsupervised
3300005326_48	3300005326_48							unsupervised
3300018878_138	3300018878_138							unsupervised
3300002098_4	3300002098_4							unsupervised
3300027592_37	3300027592_37							unsupervised
3300014944_8	3300014944_8							unsupervised
3300029554_9	3300029554_9							unsupervised
3300020186_16	3300020186_16							unsupervised
3300029230_8	3300029230_8							unsupervised
3300007501_11	3300007501_11							unsupervised
3300014846_8	3300014846_8							unsupervised
3300008695_17	3300008695_17							unsupervised
3300017448_15	3300017448_15							unsupervised
3300029020_17	3300029020_17							unsupervised
3300000164_22	3300000164_22							unsupervised
3300011002_11	3300011002_11							unsupervised
3300003281_8	3300003281_8							unsupervised
3300029390_12	3300029390_12							unsupervised
3300029523_30	3300029523_30							unsupervised
3300029395_12	3300029395_12							unsupervised
3300008636_7	3300008636_7							unsupervised
3300012858_7	3300012858_7							unsupervised
3300025044_14	3300025044_14							unsupervised
3300024256_15	3300024256_15							unsupervised
3300012801_3	3300012801_3							unsupervised
3300013105_42	3300013105_42							unsupervised
3300025625_10	3300025625_10							unsupervised
3300027937_4	3300027937_4							unsupervised
3300029715_32	3300029715_32							unsupervised
3300011979_4	3300011979_4							unsupervised
3300005326_47	3300005326_47							unsupervised
3300029385_14	3300029385_14							unsupervised
3300011677_1	3300011677_1							unsupervised
3300026093_18	3300026093_18							unsupervised
3300029359_12	3300029359_12							unsupervised
3300011974_18	3300011974_18							unsupervised
3300025638_45	3300025638_45							unsupervised
3300029437_12	3300029437_12							unsupervised
3300029523_23	3300029523_23							unsupervised
3300029723_17	3300029723_17							unsupervised
3300022929_39	3300022929_39							unsupervised
3300029120_24	3300029120_24							unsupervised
3300027696_15	3300027696_15							unsupervised
3300008521_11	3300008521_11							unsupervised
3300029891_13	3300029891_13							unsupervised
3300006979_2	3300006979_2							unsupervised
3300020183_39	3300020183_39							unsupervised
3300029243_16	3300029243_16							unsupervised
3300008513_16	3300008513_16							unsupervised
3300029103_12	3300029103_12							unsupervised
3300014971_12	3300014971_12							unsupervised
3300007996_5	3300007996_5							unsupervised
3300029380_23	3300029380_23							unsupervised
3300026311_27	3300026311_27							unsupervised
3300007210_18	3300007210_18							unsupervised
3300007316_4	3300007316_4							unsupervised
3300027606_21	3300027606_21							unsupervised
3300022738_14	3300022738_14							unsupervised
3300014561_5	3300014561_5							unsupervised
3300022933_28	3300022933_28							unsupervised
3300008275_15	3300008275_15							unsupervised
3300029735_4	3300029735_4							unsupervised
3300025660_27	3300025660_27							unsupervised
3300029794_24	3300029794_24							unsupervised
3300013469_1	3300013469_1							unsupervised
3300014095_7	3300014095_7							unsupervised
3300011883_1	3300011883_1							unsupervised
3300026288_4	3300026288_4							unsupervised
3300029128_11	3300029128_11							unsupervised
3300029616_24	3300029616_24							unsupervised
3300029549_21	3300029549_21							unsupervised
3300007098_16	3300007098_16							unsupervised
3300024904_2	3300024904_2							unsupervised
3300029904_20	3300029904_20							unsupervised
3300028048_42	3300028048_42							unsupervised
3300013133_47	3300013133_47							unsupervised
3300029661_12	3300029661_12							unsupervised
3300029236_9	3300029236_9							unsupervised
3300029356_11	3300029356_11							unsupervised
3300011683_1	3300011683_1							unsupervised
3300025869_19	3300025869_19							unsupervised
3300008306_2	3300008306_2							unsupervised
3300011708_4	3300011708_4							unsupervised
3300020578_80	3300020578_80							unsupervised
3300029115_23	3300029115_23							unsupervised
3300011652_2	3300011652_2							unsupervised
3300029736_16	3300029736_16							unsupervised
3300029619_12	3300029619_12							unsupervised
3300023245_12	3300023245_12							unsupervised
3300025737_59	3300025737_59							unsupervised
3300010260_14	3300010260_14							unsupervised
3300026284_11	3300026284_11							unsupervised
3300029434_37	3300029434_37							unsupervised
3300011748_3	3300011748_3							unsupervised
3300029702_5	3300029702_5							unsupervised
3300029512_6	3300029512_6							unsupervised
3300021319_11	3300021319_11							unsupervised
3300005529_111	3300005529_111							unsupervised
3300008155_19	3300008155_19							unsupervised
3300026288_28	3300026288_28							unsupervised
3300014497_10	3300014497_10							unsupervised
3300029350_15	3300029350_15							unsupervised
3300007296_27	3300007296_27							unsupervised
3300002468_19	3300002468_19							unsupervised
3300008103_14	3300008103_14							unsupervised
3300029765_25	3300029765_25							unsupervised
3300023208_13	3300023208_13							unsupervised
3300013338_1	3300013338_1							unsupervised
3300006045_73	3300006045_73							unsupervised
3300025546_16	3300025546_16							unsupervised
3300007669_5	3300007669_5							unsupervised
3300011627_2	3300011627_2							unsupervised
3300029757_6	3300029757_6							unsupervised
3300029665_5	3300029665_5							unsupervised
3300022181_12	3300022181_12							unsupervised
3300008638_20	3300008638_20							unsupervised
3300029439_22	3300029439_22							unsupervised
3300029251_21	3300029251_21							unsupervised
3300008136_7	3300008136_7							unsupervised
3300008325_3	3300008325_3							unsupervised
3300007806_12	3300007806_12							unsupervised
3300013999_2	3300013999_2							unsupervised
3300026992_3	3300026992_3							unsupervised
3300026252_26	3300026252_26							unsupervised
3300010042_15	3300010042_15							unsupervised
3300007346_4	3300007346_4							unsupervised
3300021318_20	3300021318_20							unsupervised
3300021255_55	3300021255_55							unsupervised
3300029494_18	3300029494_18							unsupervised
3300011639_1	3300011639_1							unsupervised
3300029118_7	3300029118_7							unsupervised
3300017658_22	3300017658_22							unsupervised
3300012521_15	3300012521_15							unsupervised
3300012921_16	3300012921_16							unsupervised
3300021306_30	3300021306_30							unsupervised
3300014530_6	3300014530_6							unsupervised
3300012253_2	3300012253_2							unsupervised
3300028968_7	3300028968_7							unsupervised
3300017406_12	3300017406_12							unsupervised
3300011508_1	3300011508_1							unsupervised
3300029622_45	3300029622_45							unsupervised
3300014517_2	3300014517_2							unsupervised
3300029716_21	3300029716_21							unsupervised
3300014664_1	3300014664_1							unsupervised
3300005284_8	3300005284_8							unsupervised
3300029427_12	3300029427_12							unsupervised
3300027863_29	3300027863_29							unsupervised
3300025226_7	3300025226_7							unsupervised
3300029762_4	3300029762_4							unsupervised
3300008734_18	3300008734_18							unsupervised
3300027509_7	3300027509_7							unsupervised
3300024901_4	3300024901_4							unsupervised
3300025862_25	3300025862_25							unsupervised
3300028972_1	3300028972_1							unsupervised
3300029789_16	3300029789_16							unsupervised
3300029538_19	3300029538_19							unsupervised
3300029486_15	3300029486_15							unsupervised
3300012818_9	3300012818_9							unsupervised
3300029383_7	3300029383_7							unsupervised
3300025534_11	3300025534_11							unsupervised
3300029860_7	3300029860_7							unsupervised
3300027323_38	3300027323_38							unsupervised
3300011134_1	3300011134_1							unsupervised
3300011530_1	3300011530_1							unsupervised
3300022865_7	3300022865_7							unsupervised
3300027983_51	3300027983_51							unsupervised
3300025724_6	3300025724_6							unsupervised
3300004269_2	3300004269_2							unsupervised
3300014531_10	3300014531_10							unsupervised
3300025775_7	3300025775_7							unsupervised
3300026088_17	3300026088_17							unsupervised
3300020220_71	3300020220_71							unsupervised
3300027719_2	3300027719_2							unsupervised
3300029445_21	3300029445_21							unsupervised
3300010373_49	3300010373_49							unsupervised
3300025456_7	3300025456_7							unsupervised
3300011631_3	3300011631_3							unsupervised
3300021559_7	3300021559_7							unsupervised
3300009503_54	3300009503_54							unsupervised
3300011360_1	3300011360_1							unsupervised
3300029056_16	3300029056_16							unsupervised
3300029503_12	3300029503_12							unsupervised
3300029462_11	3300029462_11							unsupervised
3300025061_10	3300025061_10							unsupervised
3300001683_19	3300001683_19							unsupervised
3300028630_29	3300028630_29							unsupervised
3300007298_14	3300007298_14							unsupervised
3300028958_4	3300028958_4							unsupervised
3300011759_3	3300011759_3							unsupervised
3300018878_128	3300018878_128							unsupervised
3300027706_32	3300027706_32							unsupervised
3300011768_5	3300011768_5							unsupervised
3300029380_27	3300029380_27							unsupervised
3300029427_16	3300029427_16							unsupervised
3300011494_2	3300011494_2							unsupervised
3300027828_32	3300027828_32							unsupervised
3300007843_1	3300007843_1							unsupervised
3300003272_7	3300003272_7							unsupervised
3300029523_19	3300029523_19							unsupervised
3300027968_61	3300027968_61							unsupervised
3300008080_8	3300008080_8							unsupervised
3300027282_3	3300027282_3							unsupervised
3300029560_15	3300029560_15							unsupervised
3300029556_13	3300029556_13							unsupervised
3300014601_3	3300014601_3							unsupervised
3300008513_4	3300008513_4							unsupervised
3300022470_15	3300022470_15							unsupervised
3300022742_5	3300022742_5							unsupervised
3300029715_31	3300029715_31							unsupervised
3300025677_49	3300025677_49							unsupervised
3300029742_22	3300029742_22							unsupervised
3300017652_9	3300017652_9							unsupervised
3300029444_12	3300029444_12							unsupervised
3300017400_35	3300017400_35							unsupervised
3300017931_18	3300017931_18							unsupervised
3300029527_11	3300029527_11							unsupervised
3300029051_13	3300029051_13							unsupervised
3300013022_5	3300013022_5							unsupervised
3300010275_7	3300010275_7							unsupervised
3300025230_4	3300025230_4							unsupervised
3300014005_3	3300014005_3							unsupervised
3300025300_5	3300025300_5							unsupervised
3300029820_21	3300029820_21							unsupervised
3300029434_19	3300029434_19							unsupervised
3300028630_16	3300028630_16							unsupervised
3300025677_37	3300025677_37							unsupervised
3300012856_6	3300012856_6							unsupervised
3300011508_2	3300011508_2							unsupervised
3300020262_6	3300020262_6							unsupervised
3300018878_124	3300018878_124							unsupervised
3300006299_7	3300006299_7							unsupervised
3300029248_19	3300029248_19							unsupervised
3300029206_17	3300029206_17							unsupervised
3300029567_27	3300029567_27							unsupervised
3300007361_19	3300007361_19							unsupervised
3300029338_19	3300029338_19							unsupervised
3300012194_2	3300012194_2							unsupervised
3300014691_6	3300014691_6							unsupervised
3300027706_11	3300027706_11							unsupervised
3300029506_5	3300029506_5							unsupervised
3300029046_3	3300029046_3							unsupervised
3300025775_17	3300025775_17							unsupervised
3300025916_10	3300025916_10							unsupervised
3300025584_8	3300025584_8							unsupervised
3300020183_14	3300020183_14							unsupervised
3300026980_7	3300026980_7							unsupervised
3300029417_10	3300029417_10							unsupervised
3300022753_70	3300022753_70							unsupervised
3300025256_6	3300025256_6							unsupervised
3300025682_31	3300025682_31							unsupervised
3300025250_11	3300025250_11							unsupervised
3300029197_11	3300029197_11							unsupervised
3300020295_9	3300020295_9							unsupervised
3300007043_19	3300007043_19							unsupervised
3300029235_23	3300029235_23							unsupervised
3300026522_26	3300026522_26							unsupervised
3300025350_14	3300025350_14							unsupervised
3300006226_88	3300006226_88							unsupervised
3300027773_20	3300027773_20							unsupervised
3300025109_10	3300025109_10							unsupervised
3300011954_3	3300011954_3							unsupervised
3300005043_15	3300005043_15							unsupervised
3300011231_2	3300011231_2							unsupervised
3300025138_3	3300025138_3							unsupervised
3300008634_12	3300008634_12							unsupervised
3300025161_14	3300025161_14							unsupervised
3300027640_25	3300027640_25							unsupervised
3300029522_13	3300029522_13							unsupervised
3300022745_7	3300022745_7							unsupervised
3300027592_23	3300027592_23							unsupervised
3300018080_66	3300018080_66							unsupervised
3300012090_19	3300012090_19							unsupervised
3300029340_26	3300029340_26							unsupervised
3300014761_10	3300014761_10							unsupervised
3300006980_1	3300006980_1							unsupervised
3300012588_1	3300012588_1							unsupervised
3300029101_12	3300029101_12							unsupervised
3300029451_6	3300029451_6							unsupervised
3300029432_30	3300029432_30							unsupervised
3300029185_16	3300029185_16							unsupervised
3300027509_35	3300027509_35							unsupervised
3300011631_1	3300011631_1							unsupervised
3300009503_41	3300009503_41							unsupervised
3300025253_7	3300025253_7							unsupervised
3300025602_64	3300025602_64							unsupervised
3300027848_56	3300027848_56							unsupervised
3300027363_4	3300027363_4							unsupervised
3300020578_62	3300020578_62							unsupervised
3300029433_17	3300029433_17							unsupervised
3300022885_4	3300022885_4							unsupervised
3300014529_5	3300014529_5							unsupervised
3300012843_3	3300012843_3							unsupervised
3300027283_15	3300027283_15							unsupervised
3300025048_2	3300025048_2							unsupervised
3300026863_7	3300026863_7							unsupervised
3300029112_12	3300029112_12							unsupervised
3300029511_5	3300029511_5							unsupervised
3300025093_9	3300025093_9							unsupervised
3300029122_28	3300029122_28							unsupervised
3300029488_19	3300029488_19							unsupervised
3300029393_17	3300029393_17							unsupervised
3300014898_2	3300014898_2							unsupervised
3300007915_2	3300007915_2							unsupervised
3300029563_11	3300029563_11							unsupervised
3300029604_26	3300029604_26							unsupervised
3300027869_20	3300027869_20							unsupervised
3300022753_141	3300022753_141							unsupervised
3300029411_7	3300029411_7							unsupervised
3300028024_9	3300028024_9							unsupervised
3300008599_3	3300008599_3							unsupervised
3300011818_1	3300011818_1							unsupervised
3300029488_13	3300029488_13							unsupervised
3300029608_7	3300029608_7							unsupervised
3300011976_16	3300011976_16							unsupervised
3300029320_7	3300029320_7							unsupervised
3300029257_8	3300029257_8							unsupervised
3300029381_41	3300029381_41							unsupervised
3300003364_3	3300003364_3							unsupervised
3300025668_24	3300025668_24							unsupervised
3300025587_18	3300025587_18							unsupervised
3300029794_16	3300029794_16							unsupervised
3300007210_8	3300007210_8							unsupervised
3300011936_14	3300011936_14							unsupervised
3300028324_1	3300028324_1							unsupervised
3300011593_1	3300011593_1							unsupervised
3300029609_20	3300029609_20							unsupervised
3300020377_8	3300020377_8							unsupervised
3300013131_86	3300013131_86							unsupervised
3300029472_14	3300029472_14							unsupervised
3300027968_48	3300027968_48							unsupervised
3300029604_18	3300029604_18							unsupervised
3300020207_22	3300020207_22							unsupervised
3300025748_23	3300025748_23							unsupervised
3300029375_22	3300029375_22							unsupervised
3300008626_10	3300008626_10							unsupervised
3300025261_33	3300025261_33							unsupervised
3300014776_8	3300014776_8							unsupervised
3300007105_20	3300007105_20							unsupervised
3300029111_21	3300029111_21							unsupervised
3300025433_15	3300025433_15							unsupervised
3300029558_15	3300029558_15							unsupervised
3300011914_6	3300011914_6							unsupervised
3300014744_3	3300014744_3							unsupervised
3300028559_49	3300028559_49							unsupervised
3300015214_24	3300015214_24							unsupervised
3300029747_31	3300029747_31							unsupervised
3300012841_6	3300012841_6							unsupervised
3300026299_23	3300026299_23							unsupervised
3300029076_5	3300029076_5							unsupervised
3300027794_13	3300027794_13							unsupervised
3300014963_23	3300014963_23							unsupervised
3300027820_10	3300027820_10							unsupervised
3300029620_28	3300029620_28							unsupervised
3300027986_18	3300027986_18							unsupervised
3300010049_58	3300010049_58							unsupervised
3300025536_8	3300025536_8							unsupervised
3300029557_9	3300029557_9							unsupervised
3300025671_89	3300025671_89							unsupervised
3300029197_10	3300029197_10							unsupervised
3300012214_1	3300012214_1							unsupervised
3300029647_8	3300029647_8							unsupervised
3300029859_10	3300029859_10							unsupervised
3300011873_5	3300011873_5							unsupervised
3300007517_46	3300007517_46							unsupervised
3300005460_29	3300005460_29							unsupervised
3300012864_11	3300012864_11							unsupervised
3300025705_52	3300025705_52							unsupervised
3300028635_11	3300028635_11							unsupervised
3300025608_31	3300025608_31							unsupervised
3300029749_22	3300029749_22							unsupervised
3300008432_1	3300008432_1							unsupervised
3300011865_2	3300011865_2							unsupervised
3300029821_28	3300029821_28							unsupervised
3300013138_152	3300013138_152							unsupervised
3300011456_2	3300011456_2							unsupervised
3300008404_7	3300008404_7							unsupervised
3300027730_35	3300027730_35							unsupervised
3300026985_4	3300026985_4							unsupervised
3300013644_1	3300013644_1							unsupervised
3300029480_13	3300029480_13							unsupervised
3300026961_2	3300026961_2							unsupervised
3300029464_6	3300029464_6							unsupervised
3300009702_98	3300009702_98							unsupervised
3300024328_14	3300024328_14							unsupervised
3300029875_19	3300029875_19							unsupervised
3300029382_20	3300029382_20							unsupervised
3300029751_13	3300029751_13							unsupervised
3300027826_12	3300027826_12							unsupervised
3300011211_2	3300011211_2							unsupervised
3300008520_22	3300008520_22							unsupervised
3300025110_4	3300025110_4							unsupervised
3300024932_5	3300024932_5							unsupervised
3300028576_27	3300028576_27							unsupervised
3300011987_4	3300011987_4							unsupervised
3300029198_13	3300029198_13							unsupervised
3300029338_17	3300029338_17							unsupervised
3300006038_23	3300006038_23							unsupervised
3300008636_16	3300008636_16							unsupervised
3300026299_16	3300026299_16							unsupervised
3300026549_66	3300026549_66							unsupervised
